order,problem_id,condition,model_slot,cell_id
1,P17,C,M3,P17-C-M3
2,P08,A,M1,P08-A-M1
3,P11,C,M3,P11-C-M3
4,P25,B,M2,P25-B-M2
5,P13,C,M4,P13-C-M4
6,P06,C,M3,P06-C-M3
7,P05,A,M2,P05-A-M2
8,P25,A,M2,P25-A-M2
9,P11,C,M4,P11-C-M4
10,P03,A,M3,P03-A-M3
11,P28,A,M1,P28-A-M1
12,P06,B,M3,P06-B-M3
13,P17,B,M1,P17-B-M1
14,P04,A,M4,P04-A-M4
15,P25,C,M1,P25-C-M1
16,P14,B,M2,P14-B-M2
17,P16,B,M1,P16-B-M1
18,P07,B,M1,P07-B-M1
19,P10,C,M4,P10-C-M4
20,P07,A,M2,P07-A-M2
21,P25,C,M2,P25-C-M2
22,P22,C,M1,P22-C-M1
23,P09,B,M3,P09-B-M3
24,P13,A,M3,P13-A-M3
25,P29,C,M4,P29-C-M4
26,P01,A,M1,P01-A-M1
27,P19,C,M3,P19-C-M3
28,P20,A,M2,P20-A-M2
29,P15,A,M4,P15-A-M4
30,P04,B,M1,P04-B-M1
31,P30,A,M2,P30-A-M2
32,P24,C,M2,P24-C-M2
33,P18,C,M3,P18-C-M3
34,P08,B,M4,P08-B-M4
35,P02,C,M2,P02-C-M2
36,P03,B,M2,P03-B-M2
37,P23,A,M1,P23-A-M1
38,P14,C,M1,P14-C-M1
39,P05,C,M3,P05-C-M3
40,P21,A,M4,P21-A-M4
41,P28,B,M4,P28-B-M4
42,P29,A,M2,P29-A-M2
43,P06,A,M4,P06-A-M4
44,P12,C,M3,P12-C-M3
45,P20,C,M4,P20-C-M4
46,P16,A,M3,P16-A-M3
47,P10,B,M2,P10-B-M2
48,P27,B,M1,P27-B-M1
49,P09,C,M4,P09-C-M4
50,P07,C,M3,P07-C-M3
51,P30,C,M1,P30-C-M1
52,P18,A,M2,P18-A-M2
53,P02,A,M4,P02-A-M4
54,P21,C,M2,P21-C-M2
55,P26,A,M3,P26-A-M3
56,P23,B,M2,P23-B-M2
57,P01,C,M4,P01-C-M4
58,P12,A,M2,P12-A-M2
59,P15,C,M1,P15-C-M1
60,P10,A,M4,P10-A-M4
61,P22,B,M4,P22-B-M4
62,P19,B,M1,P19-B-M1
63,P27,C,M3,P27-C-M3
64,P03,C,M4,P03-C-M4
65,P08,C,M1,P08-C-M1
66,P24,A,M3,P24-A-M3
67,P30,B,M4,P30-B-M4
68,P13,B,M2,P13-B-M2
69,P11,A,M1,P11-A-M1
70,P16,C,M4,P16-C-M4
71,P29,B,M1,P29-B-M1
72,P05,B,M4,P05-B-M4
73,P22,A,M3,P22-A-M3
74,P14,A,M4,P14-A-M4
75,P28,C,M2,P28-C-M2
76,P02,B,M1,P02-B-M1
77,P23,C,M2,P23-C-M2
78,P01,B,M3,P01-B-M3
79,P17,A,M4,P17-A-M4
80,P26,B,M4,P26-B-M4
81,P12,B,M1,P12-B-M1
